company,primarySlug,activeJobCount,hasEnrichmentRow,hasCanonicalDomain,hasLogoUrl,bestDomainHint,bestDomainHintSource,recommendedFixType
Gatikaiinc,gatikaiinc,51,yes,no,no,,,no_fix_available
Axon,axon,48,yes,no,no,,,no_fix_available
Harmattan Ai,harmattan-ai,45,yes,no,no,,,no_fix_available
Arxroboticsgmbh,arxroboticsgmbh,27,yes,no,no,,,no_fix_available
Gatherai,gatherai,23,yes,no,no,,,no_fix_available
Alpineeagle,alpineeagle,18,yes,no,no,,,no_fix_available
Mach,mach,14,yes,no,no,,,no_fix_available
Sesai,sesai,14,yes,no,no,,,no_fix_available
Flock%20Safety,flock-safety,14,yes,no,no,,,no_fix_available
Saronic,saronic,11,yes,no,no,,,no_fix_available
Sine%20Engineering,sine-engineering,11,yes,no,no,,,no_fix_available
Havocai,havocai,10,yes,no,no,,,no_fix_available
Swarmer,swarmer,9,yes,no,no,,,no_fix_available
Destinus,destinus,7,yes,no,no,,,no_fix_available
Merlinlabs,merlinlabs,7,yes,no,no,,,no_fix_available
Aureliussystems,aureliussystems,6,yes,no,no,,,no_fix_available
Fiducial,fiducial,6,yes,no,no,,,no_fix_available
Skyways,skyways,6,yes,no,no,,,no_fix_available
Sphere Defense,sphere-defense,6,yes,no,no,,,no_fix_available
Delair,delair,5,no,no,no,delair.aero,career_source_registry,no_fix_available
Morsecorp,morsecorp,5,yes,no,no,,,no_fix_available
Noda Ai,noda-ai,5,yes,no,no,,,no_fix_available
Poseidonaero,poseidonaero,5,yes,no,no,,,no_fix_available
Roadrunner Studios,roadrunner-studios,5,yes,no,no,,,no_fix_available
Hermeus,hermeus,4,yes,no,no,,,no_fix_available
Orbaerospace,orbaerospace,4,yes,no,no,,,no_fix_available
Pivotal,pivotal,4,yes,no,no,,,no_fix_available
Se3,se3,4,yes,no,no,,,no_fix_available
Tycho Ai,tycho-ai,4,yes,no,no,,,no_fix_available
Aerovect,aerovect,3,yes,no,no,,,no_fix_available
Altentechnologyusa,altentechnologyusa,3,yes,no,no,,,no_fix_available
Appliedintuition,appliedintuition,3,yes,no,no,,,no_fix_available
Arxlight Ai,arxlight-ai,3,yes,no,no,,,no_fix_available
Breaker,breaker,3,yes,no,no,,,no_fix_available
Brightai,brightai,3,yes,no,no,,,no_fix_available
Cx2,cx2,3,yes,no,no,,,no_fix_available
Marcohire,marcohire,3,yes,no,no,,,no_fix_available
Matter Intelligence,matter-intelligence,3,yes,no,no,,,no_fix_available
Mirai Robotics,mirai-robotics,3,yes,no,no,,,no_fix_available
Skysafe,skysafe,3,yes,no,no,,,no_fix_available
Spacex,spacex,3,yes,no,no,,,no_fix_available
Arch Aerial Llc,arch-aerial-llc,2,yes,no,no,,,no_fix_available
Cabonorte,cabonorte,2,yes,no,no,,,no_fix_available
Delian,delian,2,yes,no,no,,,no_fix_available
Freedomsolarpower,freedomsolarpower,2,yes,no,no,,,no_fix_available
Jobgether,jobgether,2,yes,no,no,,,no_fix_available
Lat,lat,2,yes,no,no,,,no_fix_available
Ltaresearch,ltaresearch,2,yes,no,no,,,no_fix_available
Odys Aviation,odys-aviation,2,yes,no,no,,,no_fix_available
OnHires,onhires,2,yes,no,no,,,no_fix_available