provider,slug,company,jobs_listed,jobs_relevant,jobs_inserted,jobs_updated,jobs_skipped_old,jobs_skipped_irrelevant,jobs_flagged_partial,jobs_marked_inactive,detail_fetch_success,detail_fetch_failed,fetch_failed,is_empty,bucket_last_run,yield_last_run,scrape_tier,times_seen_empty,times_failed,last_checked_at,last_successful_fetch_at,last_error
ashby,airbound,Airbound,2,2,0,2,0,0,0,0,0,0,false,false,productive,1,high,0,0,2026-04-15T13:55:42.763Z,2026-04-15T13:55:42.763Z,
greenhouse,alpineeagle,Alpineeagle,17,17,0,17,0,0,0,0,0,0,false,false,productive,1,high,0,0,2026-04-15T13:59:28.425Z,2026-04-15T13:59:28.425Z,
ashby,aureliussystems,Aureliussystems,7,7,0,7,0,0,0,0,0,0,false,false,productive,1,high,0,0,2026-04-15T13:55:50.118Z,2026-04-15T13:55:50.118Z,
ashby,breaker,Breaker,3,3,0,3,0,0,0,0,0,0,false,false,productive,1,high,0,0,2026-04-15T13:55:53.362Z,2026-04-15T13:55:53.362Z,
rippling,droneup,DroneUp,4,4,1,3,0,0,0,0,4,0,false,false,productive,1,high,0,0,2026-04-15T14:26:55.660Z,2026-04-15T14:26:55.660Z,
smartrecruiters,MaverickDroneSystems,Maverick Drone Systems,1,1,0,1,0,0,0,0,1,0,false,false,productive,1,high,0,0,2026-04-15T14:20:10.604Z,2026-04-15T14:20:10.604Z,
ashby,poseidonaero,Poseidonaero,15,15,9,6,0,0,0,0,0,0,false,false,productive,1,high,0,0,2026-04-15T13:57:48.528Z,2026-04-15T13:57:48.528Z,
lever,skysafe,Skysafe,4,4,0,4,0,0,0,0,0,0,false,false,productive,1,high,0,0,2026-04-15T14:13:10.948Z,2026-04-15T14:13:10.948Z,
lever,Terraformation,Terraformation,1,1,0,1,0,0,0,0,0,0,false,false,productive,1,high,0,0,2026-04-15T14:13:21.056Z,2026-04-15T14:13:21.056Z,
greenhouse,zone5technologies,Zone5technologies,71,70,0,70,0,1,0,0,0,0,false,false,productive,0.9859154929577465,high,0,0,2026-04-15T14:02:14.904Z,2026-04-15T14:02:14.904Z,
greenhouse,flyzipline,Zipline,190,177,3,174,0,13,0,1,0,0,false,false,productive,0.9315789473684211,high,0,0,2026-04-15T14:01:17.785Z,2026-04-15T14:01:17.785Z,
greenhouse,nerostechnologies,Autonomy,53,49,47,2,0,4,0,0,0,0,false,false,productive,0.9245283018867925,high,0,0,2026-04-15T14:34:03.421Z,2026-04-15T14:34:03.421Z,
rippling,pdwcareers,Embedded Systems Technician,36,33,31,2,0,3,0,0,36,0,false,false,productive,0.9166666666666666,high,0,0,2026-04-15T14:32:02.816Z,2026-04-15T14:32:02.816Z,
greenhouse,gatherai,Gatherai,28,25,0,25,0,3,0,1,0,0,false,false,productive,0.8928571428571429,high,0,0,2026-04-15T14:01:20.941Z,2026-04-15T14:01:20.941Z,
teamtailor,callenlenz,Principal Technologist,24,20,18,2,3,1,0,0,0,0,false,false,productive,0.8333333333333334,high,0,0,2026-04-15T14:35:15.232Z,2026-04-15T14:35:15.232Z,
greenhouse,arxroboticsgmbh,Arxroboticsgmbh,29,24,0,24,0,5,0,0,0,0,false,false,productive,0.8275862068965517,high,0,0,2026-04-15T14:00:40.481Z,2026-04-15T14:00:40.481Z,
lever,dronedeploy,DroneDeploy,11,9,0,9,2,0,0,1,0,0,false,false,productive,0.8181818181818182,high,0,0,2026-04-15T14:05:59.652Z,2026-04-15T14:05:59.652Z,
ashby,zeromark,Computer Vision Engineer (Object Detection & Tracking),10,8,6,2,1,1,0,0,0,0,false,false,productive,0.8,high,0,0,2026-04-15T14:29:38.960Z,2026-04-15T14:29:38.960Z,
ashby,odys-aviation,Odys Aviation,14,11,0,11,2,1,0,0,0,0,false,false,productive,0.7857142857142857,high,0,0,2026-04-15T13:57:20.836Z,2026-04-15T13:57:20.836Z,
ashby,Sine Engineering,Sine Engineering,14,11,0,11,1,2,0,0,0,0,false,false,productive,0.7857142857142857,high,0,0,2026-04-15T13:58:34.137Z,2026-04-15T13:58:34.137Z,
ashby,Sine%20Engineering,Sine%20Engineering,14,11,0,11,1,2,0,0,0,0,false,false,productive,0.7857142857142857,high,0,0,2026-04-15T13:58:35.377Z,2026-04-15T13:58:35.377Z,
greenhouse,gatikaiinc,Gatikaiinc,60,47,0,47,0,13,0,8,0,0,false,false,productive,0.7833333333333333,high,0,0,2026-04-15T14:01:26.477Z,2026-04-15T14:01:26.477Z,
greenhouse,anellophotonics,Defense/Government Programs (Autonomy & Navigation ...,9,7,5,2,0,2,0,0,0,0,false,false,productive,0.7777777777777778,high,0,0,2026-04-15T14:32:14.294Z,2026-04-15T14:32:14.294Z,
ashby,mirai-robotics,Mirai Robotics,4,3,0,3,1,0,0,0,0,0,false,false,productive,0.75,high,0,0,2026-04-15T13:57:04.787Z,2026-04-15T13:57:04.787Z,
ashby,sphere-defense,Sphere Defense,8,6,0,6,0,2,0,0,0,0,false,false,productive,0.75,high,0,0,2026-04-15T13:58:48.353Z,2026-04-15T13:58:48.353Z,
ashby,robin-radar,Robin Radar,23,17,0,17,2,4,0,0,0,0,false,false,productive,0.7391304347826086,high,0,0,2026-04-15T13:58:18.591Z,2026-04-15T13:58:18.591Z,
ashby,Fiducial,Fiducial,11,8,0,8,3,0,0,0,0,0,false,false,productive,0.7272727272727273,high,0,0,2026-04-15T13:56:14.332Z,2026-04-15T13:56:14.332Z,
ashby,tycho-ai,Tycho Ai,7,5,0,5,0,2,0,0,0,0,false,false,productive,0.7142857142857143,high,0,0,2026-04-15T13:59:14.480Z,2026-04-15T13:59:14.480Z,
teamtailor,delair,Delair,20,14,8,6,6,0,0,2,0,0,false,false,productive,0.7,high,0,0,2026-04-15T14:26:51.052Z,2026-04-15T14:26:51.052Z,
ashby,stealth startup,Stealth Startup,3,2,0,2,0,1,0,0,0,0,false,false,productive,0.6666666666666666,high,0,0,2026-04-15T13:58:54.514Z,2026-04-15T13:58:54.514Z,
ashby,skydio,Skydio,123,80,0,80,38,5,0,1,0,0,false,false,productive,0.6504065040650406,high,0,0,2026-04-15T13:58:45.625Z,2026-04-15T13:58:45.625Z,
ashby,noda-ai,Noda Ai,11,7,0,7,4,0,0,0,0,0,false,false,productive,0.6363636363636364,high,0,0,2026-04-15T13:57:14.185Z,2026-04-15T13:57:14.185Z,
lever,roadrunner-studios,Roadrunner Studios,8,5,0,5,0,3,0,0,0,0,false,false,productive,0.625,high,0,0,2026-04-15T14:12:30.901Z,2026-04-15T14:12:30.901Z,
rippling,swift-engineering,UAV Test Engineer,12,7,4,3,1,4,0,0,12,0,false,false,productive,0.5833333333333334,high,0,0,2026-04-15T14:30:04.525Z,2026-04-15T14:30:04.525Z,
lever,d-fendsolutions,D-Fend Solutions,35,20,1,19,13,2,0,0,0,0,false,false,productive,0.5714285714285714,high,0,0,2026-04-15T14:05:41.002Z,2026-04-15T14:05:41.002Z,
ashby,realmalliance,Realmalliance,7,4,0,4,2,1,0,0,0,0,false,false,productive,0.5714285714285714,high,0,0,2026-04-15T13:58:02.843Z,2026-04-15T13:58:02.843Z,
rippling,droneshield,DroneShield,100,53,50,3,45,2,0,0,100,0,false,false,productive,0.53,high,0,0,2026-04-15T14:29:23.165Z,2026-04-15T14:29:23.165Z,
lever,audinate,Audinate,2,1,0,1,0,1,0,0,0,0,false,false,productive,0.5,high,0,0,2026-04-15T14:03:46.244Z,2026-04-15T14:03:46.244Z,
rippling,syos-aerospace-uk,"Head of Vehicle Design, Maritime",8,4,1,3,3,1,0,0,8,0,false,false,productive,0.5,high,0,0,2026-04-15T14:29:50.702Z,2026-04-15T14:29:50.702Z,
rippling,syos-aerospace,IT Support Engineer,4,2,0,2,1,1,0,0,4,0,false,false,productive,0.5,high,0,0,2026-04-15T14:35:17.762Z,2026-04-15T14:35:17.762Z,
ashby,marcohire,Marcohire,8,4,0,4,1,3,0,0,0,0,false,false,productive,0.5,high,0,0,2026-04-15T13:57:00.491Z,2026-04-15T13:57:00.491Z,
teamtailor,lendurai,Systems Engineer,4,2,0,2,2,0,0,0,0,0,false,false,productive,0.5,high,0,0,2026-04-15T14:34:31.161Z,2026-04-15T14:34:31.161Z,
ashby,harmattan-ai,Harmattan Ai,96,45,0,45,8,43,0,1,0,0,false,false,productive,0.46875,high,0,0,2026-04-15T13:56:43.061Z,2026-04-15T13:56:43.061Z,
ashby,se3,Se3,12,5,0,5,6,1,0,0,0,0,false,false,productive,0.4166666666666667,medium,0,0,2026-04-15T13:58:23.468Z,2026-04-15T13:58:23.468Z,
ashby,brinc,Brinc,22,9,0,9,12,1,0,0,0,0,false,false,productive,0.4090909090909091,high,0,0,2026-04-15T13:55:54.471Z,2026-04-15T13:55:54.471Z,
ashby,havocai,Havocai,27,11,0,11,1,15,0,0,0,0,false,false,productive,0.4074074074074074,medium,0,0,2026-04-15T13:56:45.058Z,2026-04-15T13:56:45.058Z,
lever,cx2,Cx2,10,4,0,4,0,6,0,0,0,0,false,false,productive,0.4,medium,0,0,2026-04-15T14:05:25.472Z,2026-04-15T14:05:25.472Z,
ashby,arxlight-ai,Arxlight Ai,9,3,0,3,0,6,0,0,0,0,false,false,productive,0.3333333333333333,medium,0,0,2026-04-15T13:55:48.286Z,2026-04-15T13:55:48.286Z,
ashby,compound-eye,Compound Eye,3,1,0,1,0,2,0,0,0,0,false,false,productive,0.3333333333333333,medium,0,0,2026-04-15T13:56:01.508Z,2026-04-15T13:56:01.508Z,
ashby,delian,Delian,6,2,0,2,0,4,0,0,0,0,false,false,productive,0.3333333333333333,medium,0,0,2026-04-15T13:56:04.471Z,2026-04-15T13:56:04.471Z,
ashby,sentinel-eagle,Sentinel Eagle,3,1,0,1,0,2,0,1,0,0,false,false,productive,0.3333333333333333,medium,0,0,2026-04-15T13:58:26.044Z,2026-04-15T13:58:26.044Z,
greenhouse,sesai,Sesai,53,16,0,16,0,37,0,2,0,0,false,false,productive,0.3018867924528302,medium,0,0,2026-04-15T14:01:54.748Z,2026-04-15T14:01:54.748Z,
greenhouse,brightai,Brightai,10,3,0,3,3,4,0,0,0,0,false,false,productive,0.3,medium,0,0,2026-04-15T14:00:50.673Z,2026-04-15T14:00:50.673Z,
lever,skyways,Skyways,20,6,0,6,6,8,0,0,0,0,false,false,productive,0.3,medium,0,0,2026-04-15T14:13:13.996Z,2026-04-15T14:13:13.996Z,
lever,orbaerospace,Orbaerospace,17,5,0,5,12,0,0,0,0,0,false,false,productive,0.29411764705882354,medium,0,0,2026-04-15T14:10:22.898Z,2026-04-15T14:10:22.898Z,
greenhouse,aevexaerospace,Aevexaerospace,114,32,0,32,0,82,0,0,0,0,false,false,productive,0.2807017543859649,medium,0,0,2026-04-15T13:59:26.436Z,2026-04-15T13:59:26.436Z,
ashby,swarmer,Swarmer,23,6,2,4,9,8,0,7,0,0,false,false,productive,0.2608695652173913,medium,0,0,2026-04-15T13:59:03.270Z,2026-04-15T13:59:03.270Z,
ashby,distributed-spectrum,Distributed Spectrum,4,1,0,1,0,3,0,0,0,0,false,false,productive,0.25,medium,0,0,2026-04-15T13:56:05.084Z,2026-04-15T13:56:05.084Z,
ashby,lat,Lat,8,2,0,2,6,0,0,0,0,0,false,false,productive,0.25,medium,0,0,2026-04-15T13:56:51.254Z,2026-04-15T13:56:51.254Z,
bamboohr,skycatch,Skycatch,4,1,0,1,3,0,0,0,4,0,false,false,productive,0.25,medium,0,0,2026-04-15T14:26:58.537Z,2026-04-15T14:26:58.537Z,
ashby,swan,Swan,8,2,0,2,6,0,0,0,0,0,false,false,productive,0.25,medium,0,0,2026-04-15T13:58:56.720Z,2026-04-15T13:58:56.720Z,
ashby,Flock Safety,Flock Safety,65,16,0,16,8,41,0,0,0,0,false,false,productive,0.24615384615384617,medium,0,0,2026-04-15T13:56:20.877Z,2026-04-15T13:56:20.877Z,
ashby,Flock%20Safety,Flock%20Safety,65,16,0,16,8,41,0,0,0,0,false,false,productive,0.24615384615384617,medium,0,0,2026-04-15T13:56:22.829Z,2026-04-15T13:56:22.829Z,
ashby,mach,Mach,66,15,0,15,28,23,0,2,0,0,false,false,productive,0.22727272727272727,medium,0,0,2026-04-15T13:56:58.561Z,2026-04-15T13:56:58.561Z,
ashby,voyant-photonics,Voyant Photonics,22,5,0,5,15,2,0,1,0,0,false,false,productive,0.22727272727272727,medium,0,0,2026-04-15T13:59:20.249Z,2026-04-15T13:59:20.249Z,
ashby,matter-intelligence,Matter Intelligence,14,3,0,3,0,11,0,0,0,0,false,false,productive,0.21428571428571427,medium,0,0,2026-04-15T13:57:01.831Z,2026-04-15T13:57:01.831Z,
greenhouse,andurilindustries,Anduril,1829,389,4,385,0,1440,0,12,0,0,false,false,productive,0.21268452706396937,medium,0,0,2026-04-15T14:00:32.132Z,2026-04-15T14:00:32.132Z,
lever,shieldai,Shield AI,262,55,2,53,109,98,0,5,0,0,false,false,productive,0.2099236641221374,medium,0,0,2026-04-15T14:12:54.768Z,2026-04-15T14:12:54.768Z,
lever,merlinlabs,Merlinlabs,24,5,0,5,18,1,0,0,0,0,false,false,productive,0.20833333333333334,medium,0,0,2026-04-15T14:10:11.954Z,2026-04-15T14:10:11.954Z,
ashby,niantic-spatial,Niantic Spatial,5,1,0,1,0,4,0,0,0,0,false,false,productive,0.2,medium,0,0,2026-04-15T13:57:12.410Z,2026-04-15T13:57:12.410Z,
ashby,generalrobotics,Generalrobotics,6,1,0,1,0,5,0,0,0,0,false,false,productive,0.16666666666666666,medium,0,0,2026-04-15T13:56:28.620Z,2026-04-15T13:56:28.620Z,
lever,ltaresearch,Ltaresearch,12,2,0,2,3,7,0,0,0,0,false,false,productive,0.16666666666666666,medium,0,0,2026-04-15T14:09:44.985Z,2026-04-15T14:09:44.985Z,
ashby,northvectordynamics,Northvectordynamics,6,1,0,1,0,5,0,0,0,0,false,false,productive,0.16666666666666666,medium,0,0,2026-04-15T13:57:14.910Z,2026-04-15T13:57:14.910Z,
lever,wingtra-2,Wingtra,6,1,0,1,3,2,0,2,0,0,false,false,productive,0.16666666666666666,medium,0,0,2026-04-15T14:15:31.981Z,2026-04-15T14:15:31.981Z,
ashby,aerovect,Aerovect,19,3,0,3,2,14,0,0,0,0,false,false,productive,0.15789473684210525,medium,0,0,2026-04-15T13:55:40.091Z,2026-04-15T13:55:40.091Z,
greenhouse,morsecorp,Morsecorp,33,5,0,5,16,12,0,0,0,0,false,false,productive,0.15151515151515152,medium,0,0,2026-04-15T14:01:42.086Z,2026-04-15T14:01:42.086Z,
ashby,reliable-robotics,Reliable Robotics,62,9,0,9,8,45,0,0,0,0,false,false,productive,0.14516129032258066,medium,0,0,2026-04-15T13:58:11.035Z,2026-04-15T13:58:11.035Z,
lever,pivotal,Pivotal,24,3,0,3,9,12,0,0,0,0,false,false,productive,0.125,medium,0,0,2026-04-15T14:11:02.068Z,2026-04-15T14:11:02.068Z,
ashby,point-one-navigation,Point One Navigation,9,1,0,1,5,3,0,0,0,0,false,false,productive,0.1111111111111111,medium,0,0,2026-04-15T13:57:27.341Z,2026-04-15T13:57:27.341Z,
ashby,unitxlabs,Unitxlabs,9,1,0,1,1,7,0,0,0,0,false,false,productive,0.1111111111111111,medium,0,0,2026-04-15T13:59:14.993Z,2026-04-15T13:59:14.993Z,
lever,freedomsolarpower,Freedomsolarpower,19,2,0,2,7,10,0,0,0,0,false,false,productive,0.10526315789473684,medium,0,0,2026-04-15T14:06:53.456Z,2026-04-15T14:06:53.456Z,
rippling,singularity-defense,Drone Pilot / UAS Test Operator,20,2,0,2,4,14,0,0,20,0,false,false,productive,0.1,medium,0,0,2026-04-15T14:30:37.953Z,2026-04-15T14:30:37.953Z,
lever,Emesent,Emesent,10,1,0,1,3,6,0,1,0,0,false,false,productive,0.1,medium,0,0,2026-04-15T14:06:44.656Z,2026-04-15T14:06:44.656Z,
lever,make-rain,Make Rain,10,1,0,1,3,6,0,2,0,0,false,false,productive,0.1,medium,0,0,2026-04-15T14:09:58.430Z,2026-04-15T14:09:58.430Z,
greenhouse,axon,Axon,520,50,0,50,0,470,0,1,0,0,false,false,productive,0.09615384615384616,low,0,0,2026-04-15T14:00:49.934Z,2026-04-15T14:00:49.934Z,
lever,revealtech,Revealtech,11,1,0,1,1,9,0,1,0,0,false,false,productive,0.09090909090909091,low,0,0,2026-04-15T14:12:04.025Z,2026-04-15T14:12:04.025Z,
ashby,treeswift,Treeswift,11,1,0,1,1,9,0,0,0,0,false,false,productive,0.09090909090909091,low,0,0,2026-04-15T13:59:13.234Z,2026-04-15T13:59:13.234Z,
rippling,advanced-navigation,EMEA Bid Manager,12,1,0,1,3,8,0,0,12,0,false,false,productive,0.08333333333333333,low,0,0,2026-04-15T14:29:43.668Z,2026-04-15T14:29:43.668Z,
lever,pyka,Pyka,12,1,0,1,9,2,0,0,0,0,false,false,productive,0.08333333333333333,low,0,0,2026-04-15T14:11:49.339Z,2026-04-15T14:11:49.339Z,
greenhouse,rvi,Rvi,12,1,0,1,0,11,0,0,0,0,false,false,productive,0.08333333333333333,low,0,0,2026-04-15T14:01:48.867Z,2026-04-15T14:01:48.867Z,
ashby,persona.ai,Persona.Ai,13,1,0,1,7,5,0,0,0,0,false,false,productive,0.07692307692307693,low,0,0,2026-04-15T13:57:25.071Z,2026-04-15T13:57:25.071Z,
greenhouse,weedmaps77,Weedmaps77,26,2,0,2,2,22,0,0,0,0,false,false,productive,0.07692307692307693,low,0,0,2026-04-15T14:35:18.464Z,2026-04-15T14:35:18.464Z,
lever,venusaero,Venusaero,14,1,0,1,4,9,0,0,0,0,false,false,productive,0.07142857142857142,low,0,0,2026-04-15T14:14:32.852Z,2026-04-15T14:14:32.852Z,
lever,mythic-ai.com,Mythic Ai.Com,16,1,0,1,12,3,0,0,0,0,false,false,productive,0.0625,low,0,0,2026-04-15T14:10:18.973Z,2026-04-15T14:10:18.973Z,
ashby,spear-ai,Spear Ai,17,1,0,1,0,16,0,1,0,0,false,false,productive,0.058823529411764705,low,0,0,2026-04-15T13:58:46.999Z,2026-04-15T13:58:46.999Z,
greenhouse,vatnsystems,Vatnsystems,17,1,0,1,0,16,0,0,0,0,false,false,productive,0.058823529411764705,low,0,0,2026-04-15T14:02:06.260Z,2026-04-15T14:02:06.260Z,
lever,achievers,Achievers,18,1,0,1,4,13,0,0,0,0,false,false,productive,0.05555555555555555,low,0,0,2026-04-15T14:02:32.434Z,2026-04-15T14:02:32.434Z,
greenhouse,aurorainnovation,Aurorainnovation,173,8,0,8,0,165,0,0,0,0,false,false,productive,0.046242774566473986,low,0,0,2026-04-15T14:00:42.235Z,2026-04-15T14:00:42.235Z,
lever,anybotics,Anybotics,22,1,0,1,10,11,0,0,0,0,false,false,productive,0.045454545454545456,low,0,0,2026-04-15T14:03:25.062Z,2026-04-15T14:03:25.062Z,
lever,capstan-medical,Capstan Medical,23,1,0,1,0,22,0,0,0,0,false,false,productive,0.043478260869565216,low,0,0,2026-04-15T14:04:41.975Z,2026-04-15T14:04:41.975Z,
greenhouse,appliedintuition,Appliedintuition,195,8,2,6,0,187,0,0,0,0,false,false,productive,0.041025641025641026,low,0,0,2026-04-15T14:00:37.798Z,2026-04-15T14:00:37.798Z,
ashby,OnHires,OnHires,49,2,0,2,0,47,0,0,0,0,false,false,productive,0.04081632653061224,low,0,0,2026-04-15T13:57:24.060Z,2026-04-15T13:57:24.060Z,
lever,saronic,Saronic,270,11,0,11,145,114,0,1,0,0,false,false,productive,0.040740740740740744,low,0,0,2026-04-15T14:12:38.700Z,2026-04-15T14:12:38.700Z,
